Utility: l2
Metric: BinaryDiversityUtility
CIRCLE_WORLD, 400, 9 types, equitable_init, value: 0.9006152010883569
GRID_8DEG_WORLD, 20x20, 9 types, random_init, value: 0.5642532842633873
GRID_8DEG_WORLD, 20x20, 9 types, equitable_init, value: 0.5639177637891364
CIRCLE_WORLD, 400, 2 types, schelling_equitable_init, value: 0.5633978590177466
GRID_4DEG_WORLD, 20x20, 9 types, schelling_equitable_init, value: 0.55989449601437
GRID_8DEG_WORLD, 20x20, 3 types, schelling_random_init, value: 0.5594378383709374
GRID_4DEG_WORLD, 20x20, 9 types, schelling_random_init, value: 0.5562828436100197
GRID_4DEG_WORLD, 20x20, 8 types, schelling_equitable_init, value: 0.5426699482147571
CYLINDER_WORLD, 2x200, 4 types, schelling_equitable_init, value: 0.5404747848938302
GRID_8DEG_WORLD, 20x20, 8 types, equitable_init, value: 0.5404417914302464
GRID_4DEG_WORLD, 20x20, 8 types, schelling_random_init, value: 0.5362482598765579
CYLINDER_WORLD, 2x200, 4 types, schelling_random_init, value: 0.5335327635041943
GRID_8DEG_WORLD, 20x20, 8 types, random_init, value: 0.5317084988680755
GRID_4DEG_WORLD, 20x20, 7 types, schelling_equitable_init, value: 0.5196613991144783
GRID_4DEG_WORLD, 20x20, 7 types, schelling_random_init, value: 0.5194439994957507
GRID_4DEG_WORLD, 20x20, 6 types, schelling_equitable_init, value: 0.5013620441686776
GRID_4DEG_WORLD, 20x20, 6 types, schelling_random_init, value: 0.4999993015584762
CYLINDER_WORLD, 2x200, 3 types, schelling_equitable_init, value: 0.4917688905127166
CYLINDER_WORLD, 2x200, 3 types, schelling_random_init, value: 0.49014110555419194
GRID_8DEG_WORLD, 20x20, 4 types, schelling_equitable_init, value: 0.4891031029574108
GRID_8DEG_WORLD, 20x20, 4 types, schelling_random_init, value: 0.4862553779298611
GRID_4DEG_WORLD, 20x20, 5 types, schelling_random_init, value: 0.4779983314162293
GRID_4DEG_WORLD, 20x20, 5 types, schelling_equitable_init, value: 0.4747473450375788
GRID_4DEG_WORLD, 20x20, 4 types, schelling_equitable_init, value: 0.45871983851055137
GRID_4DEG_WORLD, 20x20, 4 types, schelling_random_init, value: 0.45731452712480236
GRID_8DEG_WORLD, 20x20, 5 types, schelling_random_init, value: 0.4510904227505117
GRID_8DEG_WORLD, 20x20, 5 types, schelling_equitable_init, value: 0.45083361412217576
GRID_8DEG_WORLD, 20x20, 6 types, schelling_equitable_init, value: 0.4135722171447628
GRID_8DEG_WORLD, 20x20, 7 types, schelling_equitable_init, value: 0.36298648347499124
GRID_8DEG_WORLD, 20x20, 7 types, schelling_random_init, value: 0.36294306498926454
GRID_8DEG_WORLD, 20x20, 6 types, schelling_random_init, value: 0.3538219337971315
GRID_8DEG_WORLD, 20x20, 9 types, schelling_equitable_init, value: 0.32179539823554426
GRID_8DEG_WORLD, 20x20, 9 types, schelling_random_init, value: 0.3187592965342335
GRID_8DEG_WORLD, 20x20, 8 types, schelling_equitable_init, value: 0.30881940696324406
GRID_8DEG_WORLD, 20x20, 8 types, schelling_random_init, value: 0.3036206720844988

Utility: number_of_colorful_edges
Metric: BinaryDiversityUtility
CIRCLE_WORLD, 400, 9 types, random_init, value: 0.9095833333333334
CIRCLE_WORLD, 400, 9 types, equitable_init, value: 0.9051250000000001
CIRCLE_WORLD, 400, 8 types, random_init, value: 0.9014166666666666
CIRCLE_WORLD, 400, 8 types, equitable_init, value: 0.9000416666666665
CIRCLE_WORLD, 400, 7 types, equitable_init, value: 0.8953749999999999
CIRCLE_WORLD, 400, 7 types, random_init, value: 0.8923333333333333
CYLINDER_WORLD, 2x200, 9 types, equitable_init, value: 0.8922777777777777
GRID_8DEG_WORLD, 20x20, 9 types, random_init, value: 0.8908333333333334
CYLINDER_WORLD, 2x200, 9 types, random_init, value: 0.8907777777777779
GRID_4DEG_WORLD, 20x20, 9 types, random_init, value: 0.8901249999999999
GRID_8DEG_WORLD, 20x20, 9 types, equitable_init, value: 0.8887291666666667
GRID_4DEG_WORLD, 20x20, 9 types, equitable_init, value: 0.8882916666666666
CIRCLE_WORLD, 400, 2 types, schelling_equitable_init, value: 0.8816249999999999
CYLINDER_WORLD, 2x200, 8 types, equitable_init, value: 0.881
CIRCLE_WORLD, 400, 6 types, random_init, value: 0.8795833333333333
GRID_8DEG_WORLD, 20x20, 8 types, equitable_init, value: 0.8783958333333334
CYLINDER_WORLD, 2x200, 8 types, random_init, value: 0.878
GRID_4DEG_WORLD, 20x20, 8 types, equitable_init, value: 0.8777083333333332
GRID_4DEG_WORLD, 20x20, 8 types, random_init, value: 0.8738333333333334
GRID_8DEG_WORLD, 20x20, 8 types, random_init, value: 0.8738125
CIRCLE_WORLD, 400, 6 types, equitable_init, value: 0.87175
CYLINDER_WORLD, 2x200, 7 types, equitable_init, value: 0.864111111111111
CIRCLE_WORLD, 400, 5 types, equitable_init, value: 0.8637083333333334
CIRCLE_WORLD, 400, 5 types, random_init, value: 0.8633333333333334
GRID_4DEG_WORLD, 20x20, 7 types, equitable_init, value: 0.8623333333333334
CYLINDER_WORLD, 2x200, 7 types, random_init, value: 0.862
GRID_8DEG_WORLD, 20x20, 7 types, equitable_init, value: 0.8618749999999998
GRID_4DEG_WORLD, 20x20, 7 types, random_init, value: 0.8614166666666667
GRID_8DEG_WORLD, 20x20, 7 types, random_init, value: 0.8587499999999999
CIRCLE_WORLD, 400, 2 types, schelling_random_init, value: 0.8510000000000002
CIRCLE_WORLD, 400, 4 types, random_init, value: 0.8494166666666667
CIRCLE_WORLD, 400, 4 types, equitable_init, value: 0.846625
CYLINDER_WORLD, 2x200, 6 types, random_init, value: 0.838388888888889
CYLINDER_WORLD, 2x200, 6 types, equitable_init, value: 0.8380555555555556
GRID_4DEG_WORLD, 20x20, 6 types, random_init, value: 0.8340833333333333
GRID_8DEG_WORLD, 20x20, 6 types, equitable_init, value: 0.8337916666666667
CIRCLE_WORLD, 400, 3 types, schelling_random_init, value: 0.8335416666666667
GRID_8DEG_WORLD, 20x20, 6 types, random_init, value: 0.8330208333333335
GRID_4DEG_WORLD, 20x20, 6 types, equitable_init, value: 0.83075
CIRCLE_WORLD, 400, 3 types, random_init, value: 0.8278333333333333
CIRCLE_WORLD, 400, 3 types, schelling_equitable_init, value: 0.8260833333333332
CIRCLE_WORLD, 400, 2 types, equitable_init, value: 0.8222083333333333
CIRCLE_WORLD, 400, 3 types, equitable_init, value: 0.8199166666666666
CIRCLE_WORLD, 400, 4 types, schelling_random_init, value: 0.8180833333333333
CIRCLE_WORLD, 400, 4 types, schelling_equitable_init, value: 0.812875
CYLINDER_WORLD, 2x200, 5 types, equitable_init, value: 0.8121666666666666
CYLINDER_WORLD, 2x200, 5 types, random_init, value: 0.811111111111111
GRID_4DEG_WORLD, 20x20, 5 types, equitable_init, value: 0.8080833333333334
CIRCLE_WORLD, 400, 5 types, schelling_equitable_init, value: 0.8064583333333333
GRID_8DEG_WORLD, 20x20, 5 types, equitable_init, value: 0.8060625000000001
CIRCLE_WORLD, 400, 5 types, schelling_random_init, value: 0.8046666666666668
GRID_4DEG_WORLD, 20x20, 5 types, random_init, value: 0.8004583333333333
GRID_8DEG_WORLD, 20x20, 5 types, random_init, value: 0.7998333333333334
CIRCLE_WORLD, 400, 6 types, schelling_equitable_init, value: 0.7978749999999999
CIRCLE_WORLD, 400, 2 types, random_init, value: 0.7976666666666666
CIRCLE_WORLD, 400, 6 types, schelling_random_init, value: 0.7943333333333332
CYLINDER_WORLD, 2x200, 2 types, schelling_equitable_init, value: 0.7926666666666665
CIRCLE_WORLD, 400, 7 types, schelling_equitable_init, value: 0.7916249999999999
CIRCLE_WORLD, 400, 8 types, schelling_random_init, value: 0.7882500000000001
CIRCLE_WORLD, 400, 7 types, schelling_random_init, value: 0.7878750000000001
CIRCLE_WORLD, 400, 9 types, schelling_random_init, value: 0.7876666666666666
CIRCLE_WORLD, 400, 8 types, schelling_equitable_init, value: 0.7851250000000001
CIRCLE_WORLD, 400, 9 types, schelling_equitable_init, value: 0.7839999999999999
CYLINDER_WORLD, 2x200, 4 types, equitable_init, value: 0.7784999999999999
CYLINDER_WORLD, 2x200, 4 types, random_init, value: 0.7783888888888889
CYLINDER_WORLD, 2x200, 2 types, schelling_random_init, value: 0.766388888888889
GRID_4DEG_WORLD, 20x20, 4 types, equitable_init, value: 0.7566666666666667
GRID_4DEG_WORLD, 20x20, 4 types, random_init, value: 0.7540416666666666
GRID_8DEG_WORLD, 20x20, 4 types, equitable_init, value: 0.7527500000000001
GRID_8DEG_WORLD, 20x20, 4 types, random_init, value: 0.7503958333333334
CYLINDER_WORLD, 2x200, 3 types, random_init, value: 0.7233888888888889
CYLINDER_WORLD, 2x200, 3 types, equitable_init, value: 0.7229444444444443
CYLINDER_WORLD, 2x200, 3 types, schelling_equitable_init, value: 0.696
CYLINDER_WORLD, 2x200, 3 types, schelling_random_init, value: 0.6921666666666667
GRID_4DEG_WORLD, 20x20, 3 types, random_init, value: 0.6869583333333333
CYLINDER_WORLD, 2x200, 2 types, equitable_init, value: 0.6807777777777778
GRID_4DEG_WORLD, 20x20, 3 types, equitable_init, value: 0.6799583333333334
CYLINDER_WORLD, 2x200, 2 types, random_init, value: 0.6739444444444443
GRID_8DEG_WORLD, 20x20, 3 types, random_init, value: 0.6676666666666666
GRID_8DEG_WORLD, 20x20, 3 types, equitable_init, value: 0.6659374999999998
CYLINDER_WORLD, 2x200, 4 types, schelling_random_init, value: 0.6457222222222224
CYLINDER_WORLD, 2x200, 4 types, schelling_equitable_init, value: 0.6322777777777778
CYLINDER_WORLD, 2x200, 5 types, schelling_random_init, value: 0.6177222222222223
CYLINDER_WORLD, 2x200, 5 types, schelling_equitable_init, value: 0.6152222222222222
CYLINDER_WORLD, 2x200, 6 types, schelling_random_init, value: 0.6061111111111112
CYLINDER_WORLD, 2x200, 6 types, schelling_equitable_init, value: 0.605388888888889
GRID_4DEG_WORLD, 20x20, 2 types, schelling_random_init, value: 0.6005000000000001
CYLINDER_WORLD, 2x200, 7 types, schelling_equitable_init, value: 0.5958333333333334
CYLINDER_WORLD, 2x200, 7 types, schelling_random_init, value: 0.5955
GRID_4DEG_WORLD, 20x20, 2 types, schelling_equitable_init, value: 0.5946666666666666
CYLINDER_WORLD, 2x200, 8 types, schelling_random_init, value: 0.5919999999999999
CYLINDER_WORLD, 2x200, 9 types, schelling_random_init, value: 0.5907222222222223
GRID_4DEG_WORLD, 20x20, 2 types, equitable_init, value: 0.5866666666666666
CYLINDER_WORLD, 2x200, 8 types, schelling_equitable_init, value: 0.5847222222222223
GRID_4DEG_WORLD, 20x20, 2 types, random_init, value: 0.58325
GRID_8DEG_WORLD, 20x20, 9 types, schelling_equitable_init, value: 0.581875
GRID_8DEG_WORLD, 20x20, 9 types, schelling_random_init, value: 0.5798333333333333
CYLINDER_WORLD, 2x200, 9 types, schelling_equitable_init, value: 0.5791111111111111
GRID_8DEG_WORLD, 20x20, 8 types, schelling_equitable_init, value: 0.5648333333333333
GRID_8DEG_WORLD, 20x20, 8 types, schelling_random_init, value: 0.556875
GRID_4DEG_WORLD, 20x20, 3 types, schelling_random_init, value: 0.5567916666666667
GRID_4DEG_WORLD, 20x20, 3 types, schelling_equitable_init, value: 0.5532916666666666
GRID_4DEG_WORLD, 20x20, 9 types, schelling_random_init, value: 0.5410833333333332
GRID_8DEG_WORLD, 20x20, 7 types, schelling_random_init, value: 0.5409999999999999
GRID_8DEG_WORLD, 20x20, 7 types, schelling_equitable_init, value: 0.5402708333333333
GRID_4DEG_WORLD, 20x20, 4 types, schelling_random_init, value: 0.5377083333333332
GRID_4DEG_WORLD, 20x20, 9 types, schelling_equitable_init, value: 0.5375416666666666
GRID_4DEG_WORLD, 20x20, 4 types, schelling_equitable_init, value: 0.5298333333333334
GRID_4DEG_WORLD, 20x20, 8 types, schelling_equitable_init, value: 0.5292500000000001
GRID_4DEG_WORLD, 20x20, 8 types, schelling_random_init, value: 0.5269999999999999
GRID_8DEG_WORLD, 20x20, 6 types, schelling_equitable_init, value: 0.5234791666666667
GRID_4DEG_WORLD, 20x20, 5 types, schelling_equitable_init, value: 0.5232916666666666
GRID_4DEG_WORLD, 20x20, 5 types, schelling_random_init, value: 0.521
GRID_4DEG_WORLD, 20x20, 7 types, schelling_random_init, value: 0.5207499999999999
GRID_4DEG_WORLD, 20x20, 6 types, schelling_random_init, value: 0.5202083333333333
GRID_4DEG_WORLD, 20x20, 7 types, schelling_equitable_init, value: 0.5199583333333333
GRID_4DEG_WORLD, 20x20, 6 types, schelling_equitable_init, value: 0.519125
GRID_8DEG_WORLD, 20x20, 2 types, random_init, value: 0.5014583333333332
GRID_8DEG_WORLD, 20x20, 5 types, schelling_equitable_init, value: 0.5007708333333334
GRID_8DEG_WORLD, 20x20, 2 types, equitable_init, value: 0.4999166666666667
GRID_8DEG_WORLD, 20x20, 5 types, schelling_random_init, value: 0.49581250000000004
GRID_8DEG_WORLD, 20x20, 4 types, schelling_equitable_init, value: 0.4784375
GRID_8DEG_WORLD, 20x20, 4 types, schelling_random_init, value: 0.47375000000000006
GRID_8DEG_WORLD, 20x20, 3 types, schelling_equitable_init, value: 0.4591041666666667
GRID_8DEG_WORLD, 20x20, 6 types, schelling_random_init, value: 0.44762500000000005
GRID_8DEG_WORLD, 20x20, 2 types, schelling_equitable_init, value: 0.4282500000000001
GRID_8DEG_WORLD, 20x20, 2 types, schelling_random_init, value: 0.4264166666666667
GRID_8DEG_WORLD, 20x20, 3 types, schelling_random_init, value: 0.42093749999999996

Utility: l2
Metric: TypeCountingDiversityUtility
GRID_8DEG_WORLD, 20x20, 2 types, equitable_init, value: 0.8895186639543462
GRID_8DEG_WORLD, 20x20, 2 types, random_init, value: 0.8893700941112659
CIRCLE_WORLD, 400, 9 types, random_init, value: 0.8875076375784878
CIRCLE_WORLD, 400, 9 types, equitable_init, value: 0.8817641588871098
CIRCLE_WORLD, 400, 8 types, equitable_init, value: 0.8748403212355169
CIRCLE_WORLD, 400, 8 types, random_init, value: 0.8712726948451159
CIRCLE_WORLD, 400, 7 types, random_init, value: 0.8576143577745065
CIRCLE_WORLD, 400, 7 types, equitable_init, value: 0.8534478941224989
GRID_8DEG_WORLD, 20x20, 3 types, equitable_init, value: 0.8499731735798216
GRID_8DEG_WORLD, 20x20, 3 types, random_init, value: 0.8453087009930557
CIRCLE_WORLD, 400, 6 types, equitable_init, value: 0.8339088867798299
CIRCLE_WORLD, 400, 6 types, random_init, value: 0.8323012880862632
GRID_8DEG_WORLD, 20x20, 5 types, equitable_init, value: 0.8046377766274174
CIRCLE_WORLD, 400, 5 types, equitable_init, value: 0.8022149564960991
CIRCLE_WORLD, 400, 5 types, random_init, value: 0.7989872063836191
CYLINDER_WORLD, 2x200, 9 types, equitable_init, value: 0.7965729856102111
GRID_8DEG_WORLD, 20x20, 2 types, schelling_random_init, value: 0.7964002214394558
CYLINDER_WORLD, 2x200, 9 types, random_init, value: 0.7949678981589675
GRID_8DEG_WORLD, 20x20, 5 types, random_init, value: 0.7930762397768147
CYLINDER_WORLD, 2x200, 2 types, equitable_init, value: 0.7884272353970349
GRID_4DEG_WORLD, 20x20, 2 types, equitable_init, value: 0.7877408222685172
GRID_4DEG_WORLD, 20x20, 2 types, random_init, value: 0.78709506835365
CYLINDER_WORLD, 2x200, 2 types, random_init, value: 0.7861835996989724
GRID_8DEG_WORLD, 20x20, 6 types, equitable_init, value: 0.7782489446882306
CYLINDER_WORLD, 2x200, 8 types, random_init, value: 0.7768057932302643
GRID_8DEG_WORLD, 20x20, 4 types, equitable_init, value: 0.7754982323647319
GRID_8DEG_WORLD, 20x20, 6 types, random_init, value: 0.7715127196612374
CYLINDER_WORLD, 2x200, 8 types, equitable_init, value: 0.7713430208103282
GRID_8DEG_WORLD, 20x20, 4 types, random_init, value: 0.768266750367739
GRID_8DEG_WORLD, 20x20, 2 types, schelling_equitable_init, value: 0.7675580770099866
GRID_8DEG_WORLD, 20x20, 5 types, schelling_equitable_init, value: 0.7631321531470056
GRID_8DEG_WORLD, 20x20, 3 types, schelling_equitable_init, value: 0.7625841146138727
CIRCLE_WORLD, 400, 4 types, equitable_init, value: 0.7575096251314034
GRID_8DEG_WORLD, 20x20, 6 types, schelling_equitable_init, value: 0.7537625206197528
CIRCLE_WORLD, 400, 4 types, random_init, value: 0.7529606103947291
CYLINDER_WORLD, 2x200, 7 types, equitable_init, value: 0.7516623790374749
GRID_8DEG_WORLD, 20x20, 5 types, schelling_random_init, value: 0.7466366809261494
GRID_4DEG_WORLD, 20x20, 2 types, schelling_equitable_init, value: 0.7445229449558954
CYLINDER_WORLD, 2x200, 7 types, random_init, value: 0.7403800887843554
CIRCLE_WORLD, 400, 8 types, schelling_equitable_init, value: 0.7354600900229387
GRID_8DEG_WORLD, 20x20, 6 types, schelling_random_init, value: 0.7332576501494754
CIRCLE_WORLD, 400, 9 types, schelling_equitable_init, value: 0.7320167038801824
CIRCLE_WORLD, 400, 9 types, schelling_random_init, value: 0.7317028426491561
CIRCLE_WORLD, 400, 8 types, schelling_random_init, value: 0.7301646692903289
CIRCLE_WORLD, 400, 7 types, schelling_equitable_init, value: 0.7267392005796108
CIRCLE_WORLD, 400, 7 types, schelling_random_init, value: 0.7254326278919873
GRID_4DEG_WORLD, 20x20, 2 types, schelling_random_init, value: 0.7252808771401101
GRID_4DEG_WORLD, 20x20, 9 types, equitable_init, value: 0.7243762293540033
GRID_4DEG_WORLD, 20x20, 9 types, random_init, value: 0.7239655069416189
CIRCLE_WORLD, 400, 6 types, schelling_random_init, value: 0.7166901140753311
GRID_8DEG_WORLD, 20x20, 4 types, schelling_equitable_init, value: 0.714028497246421
GRID_8DEG_WORLD, 20x20, 7 types, equitable_init, value: 0.7128990462012207
GRID_8DEG_WORLD, 20x20, 3 types, schelling_random_init, value: 0.7116795949381242
CIRCLE_WORLD, 400, 6 types, schelling_equitable_init, value: 0.7102667116991521
CYLINDER_WORLD, 2x200, 6 types, random_init, value: 0.708932891111307
CYLINDER_WORLD, 2x200, 6 types, equitable_init, value: 0.7058415692234683
CIRCLE_WORLD, 400, 5 types, schelling_equitable_init, value: 0.7033942410254944
GRID_8DEG_WORLD, 20x20, 7 types, random_init, value: 0.702391128156442
CIRCLE_WORLD, 400, 5 types, schelling_random_init, value: 0.7020631194135386
GRID_4DEG_WORLD, 20x20, 8 types, equitable_init, value: 0.6997296225452196
GRID_8DEG_WORLD, 20x20, 4 types, schelling_random_init, value: 0.6996912841195068
CIRCLE_WORLD, 400, 3 types, equitable_init, value: 0.6932654942927079
CIRCLE_WORLD, 400, 3 types, random_init, value: 0.692365614631144
CYLINDER_WORLD, 2x200, 2 types, schelling_random_init, value: 0.6922935714842133
GRID_8DEG_WORLD, 20x20, 7 types, schelling_equitable_init, value: 0.6904863374409498
GRID_4DEG_WORLD, 20x20, 8 types, random_init, value: 0.6891457727344256
CYLINDER_WORLD, 2x200, 2 types, schelling_equitable_init, value: 0.6867887674735492
CIRCLE_WORLD, 400, 4 types, schelling_equitable_init, value: 0.6858023797581324
CYLINDER_WORLD, 2x200, 9 types, schelling_equitable_init, value: 0.6814203031780603
GRID_8DEG_WORLD, 20x20, 7 types, schelling_random_init, value: 0.679779008063708
CIRCLE_WORLD, 400, 4 types, schelling_random_init, value: 0.6793817218129594
CYLINDER_WORLD, 2x200, 9 types, schelling_random_init, value: 0.6783540807017344
CYLINDER_WORLD, 2x200, 8 types, schelling_random_init, value: 0.6651659479213615
GRID_4DEG_WORLD, 20x20, 7 types, equitable_init, value: 0.6646640328144054
CYLINDER_WORLD, 2x200, 5 types, equitable_init, value: 0.66395339270552
GRID_4DEG_WORLD, 20x20, 7 types, random_init, value: 0.6593663255705862
CYLINDER_WORLD, 2x200, 5 types, random_init, value: 0.6588233783836549
CYLINDER_WORLD, 2x200, 8 types, schelling_equitable_init, value: 0.6560086429839243
GRID_4DEG_WORLD, 20x20, 3 types, random_init, value: 0.6485255821817132
GRID_4DEG_WORLD, 20x20, 3 types, equitable_init, value: 0.6482366554942113
CIRCLE_WORLD, 400, 3 types, schelling_equitable_init, value: 0.6461150147505528
